ID,Block,Gender,Hhsize,HousingType,Idimp,Iddiff,Idinsult,ViolNorm1,ViolNorm2,PeerBlameJ,PeerBlameH,PeerBlameD,NoMeeting,LeadBlameJ,LeadBlameH,LeadBlameD,EmotJob1,DegrEmotJ,EmotJob2,EmotHous1,DegrEmotH,EmotHous2,SAPosNow,SAPosNorm,ForPosNow,ForPosNorm,EmotPos1,DegrEmotPos,EmotPos2,LiveAlex08,ParticToyi,ParticIntim,ParticLoot,ParticHelp,ParticHarm,ParticDestr,IntendToyi,IntendToyi2,IntendHelp,IntendHit,IntendDestr,Age,AttendCh,Married,YrsAlex,Working,JobR,Lang,Party,Education,Ownership,HaveElect,HaveTV,HaveCell,HaveFridge,HaveMicro,HaveComp,HaveCar
10023,S1,2,1,6,1,3,1,4,2,1,1,2,4,2,2,2,8,NA,5,8,2,6,4,5,5,4,8,3,7,1,3,3,3,3,3,3,4,4,2,4,4,35,2,2,15,2,domestic worker,8,1,2,3,2,2,2,2,1,1,1
10024,S1,1,1,6,1,4,1,3,3,1,1,2,2,4,4,4,8,1,3,8,1,7,2,7,5,2,3,1,6,1,1,3,1,3,2,1,1,1,4,1,1,35,4,1,77,7,human resources manager,9,8,4,3,2,2,2,NA,1,1,1
10025,S2,2,1,6,2,4,2,4,1,1,1,1,0,NA,NA,NA,9,9,9,7,1,8,2,6,5,4,8,2,7,1,3,3,3,3,3,3,4,4,4,4,4,79,1,4,77,6,driver,8,3,6,1,2,2,2,2,2,1,1
10026,S4,2,3,6,2,9,5,4,2,2,1,2,0,NA,NA,NA,9,NA,NA,6,2,8,2,5,5,4,8,1,8,1,3,3,3,3,3,3,4,4,4,4,4,27,1,3,10,1,fireman,4,3,3,3,2,2,2,2,2,1,1
10027,S4,1,2,5,1,3,1,4,2,2,3,2,0,NA,NA,NA,9,NA,99,9,4,99,4,5,5,4,3,3,8,2,NA,NA,NA,NA,NA,NA,4,4,4,4,4,32,3,2,77,1,city parks,8,8,3,1,2,2,2,2,2,1,2
10028,S17,1,1,6,1,4,3,4,2,1,1,2,0,NA,NA,NA,8,1,4,3,2,8,2,5,4,9,6,2,8,1,3,3,3,3,3,3,1,1,3,4,4,41,4,1,14,7,technician,5,3,3,1,2,2,2,2,1,1,1
10029,S9,2,2,1,1,4,1,1,3,1,1,2,1,9,9,9,8,1,3,8,1,4,2,4,4,4,8,2,6,1,3,3,3,3,3,3,4,3,4,4,4,45,1,2,20,2,domestic worker,1,2,1,1,2,2,2,2,1,1,1
10030,S4,1,2,2,1,3,2,4,2,1,1,2,0,NA,NA,NA,8,2,6,4,2,8,2,5,5,4,7,2,8,1,3,3,3,3,3,3,4,4,4,1,4,27,NA,2,9,7,construction,2,3,2,3,2,1,1,1,1,1,1
10031,S4,2,1,6,1,3,2,4,2,1,2,2,0,NA,NA,NA,6,2,8,8,1,6,2,5,2,4,8,2,6,2,NA,NA,NA,NA,NA,NA,4,3,4,4,4,33,1,2,2,7,security guard,6,3,3,2,2,2,2,2,2,1,1
10032,S4,2,1,5,3,9,3,5,2,2,1,2,0,NA,NA,NA,4,3,8,8,2,6,3,5,2,5,6,2,8,1,3,3,3,3,3,3,3,3,9,4,4,68,1,4,77,6,factory worker,8,3,2,1,2,2,2,2,NA,1,1
